,artist,album,name,time,day,month,year
0, The Cranberries," Everybody Else Is Doing It, So Why Cant We?",Dreams, 22:18,05,12,2022
1, Pearl Jam, Vs. (Expanded Edition),Rearviewmirror, 22:13,05,12,2022
2, Juice WRLD, Goodbye & Good Riddance,End Of The Road, 22:11,05,12,2022
3, The White Stripes, White Blood Cells,Dead Leaves and the Dirty Ground, 22:08,05,12,2022
4," ""Sinéad OConnor""", I Do Not Want What I Havent Got,Nothing Compares 2 U, 22:05,05,12,2022
5, Taylor Swift, 1989,How You Get the Girl, 04:43,05,12,2022
6, Cream, Disraeli Gears,Tales of Brave Ulysses, 04:37,05,12,2022
7, Cream, Disraeli Gears,Sunshine of Your Love, 04:35,05,12,2022
8, Rage Against the Machine, The Battle of Los Angeles,Born of a Broken Man, 04:31,05,12,2022
9, Sublime, 40oz. To Freedom,40oz. To Freedom, 02:58,03,12,2022
10, Rage Against the Machine, Rage Against the Machine,Killing in the Name, 02:52,03,12,2022
11, The Jimi Hendrix Experience, Are You Experienced,Purple Haze, 02:47,03,12,2022
12, Sublime, Sublime,Santeria, 02:44,03,12,2022
13, 2Pac, All Eyez on Me,All Eyez On Me (feat. Big Syke), 02:41,03,12,2022
14, Taylor Swift, Fearless,You Belong with Me, 06:23,01,12,2022
15, Taylor Swift, Fearless,White Horse, 06:19,01,12,2022
16, Taylor Swift, Fearless,Hey Stephen, 06:15,01,12,2022
17, Taylor Swift, Fearless,Love Story, 06:11,01,12,2022
18, Taylor Swift, Fearless,Fifteen, 06:07,01,12,2022
19, Taylor Swift, Fearless,Fearless, 06:02,01,12,2022
20, Lorde, Pure Heroine,Tennis Court, 05:55,01,12,2022
21, Nas, Illmatic,N.Y. State of Mind, 05:53,01,12,2022
22, Cream, Wheels of Fire,White Room, 05:48,01,12,2022
23, Eminem, Encore,Mockingbird, 05:43,01,12,2022
24, Sublime, Sublime,"April 29, 1992 (Miami)", 03:54,30,11,2022
25, Sublime, Sublime,Wrong Way, 06:28,29,11,2022
26, Sublime, Sublime,What I Got, 06:26,29,11,2022
27, Lil Nas X, 7 - EP,Old Town Road (feat. Billy Ray Cyrus) [Remix], 06:19,29,11,2022
28, Taylor Swift, Fearless,Love Story, 05:58,29,11,2022
29, Taylor Swift, Fearless,Fearless, 05:54,29,11,2022
30, Acid Bath, When the Kite String Pops,The Blue, 03:35,29,11,2022
31, Radiohead, OK Computer,The Tourist, 03:29,29,11,2022
32, Radiohead, OK Computer,Lucky, 03:23,29,11,2022
33, Radiohead, OK Computer,No Surprises, 03:18,29,11,2022
34, Radiohead, OK Computer,Climbing Up the Walls, 03:15,29,11,2022
35, Radiohead, OK Computer,Electioneering, 03:10,29,11,2022
36, Radiohead, OK Computer,Fitter Happier, 03:06,29,11,2022
37, Radiohead, OK Computer,Karma Police, 03:05,29,11,2022
38, Radiohead, OK Computer,Let Down, 03:01,29,11,2022
39, Radiohead, OK Computer,Exit Music (for a Film), 02:56,29,11,2022
40, Radiohead, OK Computer,Subterranean Homesick Alien, 02:52,29,11,2022
41, Radiohead, OK Computer,Paranoid Android, 02:43,29,11,2022
42, Radiohead, OK Computer,Airbag, 02:37,29,11,2022
43, 平田志穂子, ペルソナ4 ザ・ゴールデン オリジナル・サウンドトラック,Shadow World, 02:32,29,11,2022
44, Soundgarden, Superunknown (20th Anniversary),4th of July, 02:27,29,11,2022
45, Kendrick Lamar," good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe", 02:22,29,11,2022
46, Soundgarden, Superunknown (20th Anniversary),4th of July, 02:22,29,11,2022
47, Kendrick Lamar," good kid, m.A.A.d city","Bitch, Don’t Kill My Vibe", 02:17,29,11,2022
48, Deftones, Around the Fur,Be Quiet and Drive (Far Away), 02:17,29,11,2022
49, Heart, Little Queen,Barracuda, 02:12,29,11,2022
50, Rush, A Farewell To Kings (Remastered),Closer to the Heart, 02:07,29,11,2022
51, Wu-Tang Clan, Enter The Wu-Tang (36 Chambers) [Expanded Edition],"C.R.E.A.M. (Cash Rules Everything Around Me) [feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk]", 02:05,29,11,2022
52, The Smashing Pumpkins, Mellon Collie and the Infinite Sadness (Remastered),Zero, 02:00,29,11,2022
53, Gorillaz, Demon Days,Feel Good Inc., 01:58,29,11,2022
54, Iron Maiden, The Number Of The Beast (Remastered),The Number of the Beast, 01:54,29,11,2022
55, Gorillaz, Demon Days,Feel Good Inc., 01:54,29,11,2022
56, Rage Against the Machine, The Battle of Los Angeles,Born of a Broken Man, 01:49,29,11,2022
57, Red Hot Chili Peppers, Blood Sugar Sex Magik,Under the Bridge, 22:03,28,11,2022
58, Live, Throwing Copper,I Alone, 19:00,28,11,2022
59, Def Leppard, Pyromania,Photograph, 18:56,28,11,2022
60, Sublime, 40oz. To Freedom,40oz. To Freedom, 18:52,28,11,2022
61, Pearl Jam, Ten,Black, 18:49,28,11,2022
62, Radiohead, The Bends,Planet Telex, 07:32,28,11,2022
